station_raw,time_to_tokyo_min
東京メトロ東西線/高田馬場駅,28.0
成田スカイアクセス/京成上野駅,22.0
ＪＲ南武線/谷保駅,62.0
東京メトロ有楽町線/要町駅,28.0
ＪＲ総武線/両国駅,12.0
京王動物園線/多摩動物公園駅,74.0
多摩都市モノレール/程久保駅,71.0
ＪＲ総武線/市川駅,18.0
都営大江戸線/蔵前駅,20.0
東急池上線/蓮沼駅,33.0
小田急江ノ島線/相模大野駅,56.0
湘南新宿ライン宇須/恵比寿駅,24.0
ＪＲ総武線/大久保駅,25.0
ＪＲ埼京線/池袋駅,17.0
東京メトロ丸ノ内線/池袋駅,17.0
西武池袋線/ひばりヶ丘駅,44.0
小田急線/世田谷代田駅,33.0
都営大江戸線/代々木駅,21.0
ＪＲ八高線/金子駅,92.0
京王線/柴崎駅,46.0
京成本線/堀切菖蒲園駅,30.0
東武伊勢崎線/とうきょうスカイツリー駅,35.0
京成金町線/京成金町駅,42.0
東武伊勢崎線/五反野駅,32.0
東急こどもの国線/長津田駅,57.0
東京メトロ有楽町線/平和台駅,37.0
西武新宿線/上井草駅,46.0
東京メトロ副都心線/池袋駅,17.0
京王新線/新宿駅,13.0
京王井の頭線/富士見ヶ丘駅,40.0
小田急線/豪徳寺駅,36.0
東京メトロ南北線/四ツ谷駅,10.0
京急本線/雑色駅,27.0
東武東上線/池袋駅,17.0
東京メトロ有楽町線/千川駅,30.0
ＪＲ埼京線/大崎駅,17.0
京急本線/梅屋敷駅,32.0
都電荒川線/都電雑司ヶ谷駅,38.0
都電荒川線/学習院下駅,35.0
京王線/芦花公園駅,44.0
西武新宿線/西武柳沢駅,49.0
ＪＲ横浜線/淵野辺駅,76.0
東急池上線/長原駅,37.0
東武伊勢崎線/鐘ヶ淵駅,34.0
東急大井町線/大井町駅,17.0
都営大江戸線/両国駅,12.0
京急本線/鮫洲駅,23.0
東武伊勢崎線/小菅駅,30.0
京成本線/京成関屋駅,28.0
東武伊勢崎線/牛田駅,31.0
京王線/南平駅,65.0
京急空港線/京急蒲田駅,25.0
西武拝島線/武蔵砂川駅,70.0
京王新線/初台駅,26.0
多摩都市モノレール/桜街道駅,73.0
東急池上線/池上駅,35.0
ＪＲ埼京線/西大井駅,12.0
ＪＲ埼京線/渋谷駅,19.0
西武新宿線/高田馬場駅,26.0
ＪＲ中央線/代々木駅,21.0
東急多摩川線/矢口渡駅,38.0
東京モノレール/大井競馬場前駅,22.0
日暮里・舎人ライナー/扇大橋駅,26.0
都営大江戸線/中井駅,37.0
多摩都市モノレール/泉体育館駅,64.0
りんかい線/品川シーサイド駅,30.0
京王相模原線/調布駅,44.0
東武伊勢崎線/梅島駅,39.0
京王井の頭線/西永福駅,43.0
京急空港線/大鳥居駅,29.0
東急多摩川線/蒲田駅,23.0
多摩都市モノレール/砂川七番駅,65.0
多摩都市モノレール/玉川上水駅,62.0
京急本線/大森町駅,30.0
ＪＲ総武線/千駄ケ谷駅,19.0
東京メトロ有楽町線/新木場駅,10.0
西武池袋線/石神井公園駅,39.0
都電荒川線/熊野前駅,30.0
ＪＲ常磐線/金町駅,38.0
京成金町線/柴又駅,48.0
京成松戸線/松戸駅,32.0
西武新宿線/東村山駅,56.0
西武新宿線/久米川駅,62.0
東武伊勢崎線/堀切駅,32.0
京王線/桜上水駅,35.0
東武亀戸線/亀戸水神駅,26.0
東武伊勢崎線/西新井駅,33.0
ＪＲ総武線/市ケ谷駅,15.0
京王線/長沼駅,69.0
京急本線/品川駅,8.0
ＪＲ高崎線/赤羽駅,18.0
東京メトロ副都心線/千川駅,30.0
東武伊勢崎線/押上駅,21.0
都電荒川線/東池袋四丁目駅,34.0
西武拝島線/東大和市駅,60.0
都営交通/錦糸町,8.0
ＪＲ横浜線/片倉駅,77.0
都営大江戸線/新宿駅,14.0
小田急線/柿生駅,52.0
東京メトロ有楽町線/市ケ谷駅,15.0
東武亀戸線/亀戸駅,19.0
東京メトロ副都心線/要町駅,28.0
東急世田谷線/松原駅,41.0
東武伊勢崎線/北千住駅,20.0
京王井の頭線/新代田駅,40.0
西武池袋線/大泉学園駅,44.0
ＪＲ京浜東北線/川崎駅,18.0
東武亀戸線/小村井駅,29.0
埼玉高速鉄道/川口元郷駅,38.0
ＪＲ総武線/小岩駅,21.0
ＪＲ総武線/平井駅,21.0
りんかい線/新木場駅,10.0
りんかい線/東雲駅,17.0
西武池袋線/保谷駅,46.0
東武東上線/朝霞台駅,45.0
多摩都市モノレール/万願寺駅,67.0
西武多摩湖線/青梅街道駅,52.0
湘南新宿ライン宇須/池袋駅,17.0
東急大井町線/中延駅,29.0
京王線/明大前駅,30.0
京王高尾線/北野駅,62.0
東急大井町線/荏原町駅,32.0
東武亀戸線/曳舟駅,29.0
ＪＲ南武線/西府駅,57.0
京成本線/京成小岩駅,44.0
つくばエクスプレス/八潮駅,34.0
京王井の頭線/明大前駅,30.0
西武池袋線/富士見台駅,40.0
宿９１/本町六丁目（東京都）,1524.0
東急多摩川線/鵜の木駅,42.0
亀29/南葛西小,35.0
京王高尾線/高尾山口駅,76.0
京王線/東府中駅,50.0
都営大江戸線/落合南長崎駅,39.0
東京モノレール/流通センター駅,26.0
京成本線/江戸川駅,46.0
ＪＲ総武線快速/市川駅,18.0
東京メトロ有楽町線/地下鉄赤塚駅,38.0
西武池袋線/秋津駅,53.0
京王線/新宿駅,14.0
東急世田谷線/下高井戸駅,33.0
ＪＲ総武線/信濃町駅,17.0
東京メトロ南北線/市ケ谷駅,15.0
東急池上線/千鳥町駅,36.0
東急多摩川線/武蔵新田駅,39.0
小田急線/梅ヶ丘駅,35.0
成育医療研究センター行/世田谷総合高校,61.0
東京メトロ副都心線/地下鉄成増駅,40.0
東武伊勢崎線/竹ノ塚駅,44.0
多摩都市モノレール/高幡不動駅,56.0
西武拝島線/玉川上水駅,67.0
東急大井町線/高津駅,41.0
西武池袋線/練馬高野台駅,44.0
京王線/下高井戸駅,33.0
西武池袋線/中村橋駅,39.0
ＪＲ常磐線/松戸駅,32.0
渋51[東急バス]/渋52/太子堂中学校,41.0
京成押上線/京成曳舟駅,30.0
東京メトロ有楽町線/氷川台駅,35.0
成田スカイアクセス/青砥駅,30.0
多摩都市モノレール/上北台駅,75.0
日暮里・舎人ライナー/江北駅,29.0
東急世田谷線/山下駅,940.0
京急本線/六郷土手駅,29.0
京急本線/京急川崎駅,27.0
京浜急行バス/南蒲田二丁目,40.0
つくばエクスプレス/北千住駅,25.0
京王井の頭線/東松原駅,41.0
日暮里・舎人ライナー/舎人駅,39.0
西武池袋線/練馬駅,34.0
ＪＲ横浜線/矢部駅,76.0
京成押上線/青砥駅,30.0
ＪＲ五日市線/秋川駅,88.0
東武亀戸線/東あずま駅,28.0
都営大江戸線/新江古田駅,41.0
東急多摩川線/下丸子駅,41.0
ＪＲ武蔵野線/新小平駅,56.0
日暮里・舎人ライナー/高野駅,1168.0
新交通ゆりかもめ/新豊洲駅,31.0
都電荒川線/鬼子母神前駅,30.0
東京モノレール/昭和島駅,28.0
都営バス/千石1丁目停留所,29.0
東急こどもの国線/こどもの国駅,82.0
ＪＲ五日市線/武蔵増戸駅,93.0
都営バス　都06/広尾五丁目,27.0
東武大師線/大師前駅,44.0
日暮里・舎人ライナー/西新井大師西駅,31.0
京王線/西調布駅,53.0
京急大師線/港町駅,34.0
京王相模原線/多摩境駅,69.0
京成本線/青砥駅,30.0
ＪＲ横浜線/八王子みなみ野駅,65.0
新小51/新小岩駅,13.0
日暮里・舎人ライナー/谷在家駅,35.0
東急池上線/久が原駅,37.0
ＪＲ横浜線/相模原駅,78.0
西武池袋線/東長崎駅,31.0
ＪＲ武蔵野線/新秋津駅,61.0
ＪＲ五日市線/武蔵五日市駅,97.0
京成本線/京成高砂駅,38.0
湘南新宿ライン宇須/渋谷駅,19.0
小田急バス/砧南中学校前,
多摩都市モノレール/多摩動物公園駅,74.0
京王線/多磨霊園駅,53.0
森91/大岡山小学校前,
都営バス/菅原橋,36.0
関東バス/今川3丁目,56.0
西武池袋線/桜台駅,34.0
ＪＲ総武線/代々木駅,19.0
都営バス/新小岩四丁目,23.0
京成押上線/八広駅,31.0
東京メトロ有楽町線/小竹向原駅,29.0
西武拝島線/萩山駅,66.0
京王競馬場線/府中競馬正門前駅,59.0
京浜急行バス/大森銀座入口,
ＪＲ武蔵野線/府中本町駅,52.0
ＪＲ東海道本線/東京駅,
関東バス/清水三丁目,686.0
ＪＲ五日市線/武蔵引田駅,90.0
西武有楽町線/練馬駅,36.0
ＪＲ横浜線/相原駅,68.0
西東京バス/西中野三丁目,
-/旧葛西橋,
東京メトロ副都心線/小竹向原駅,29.0
ＪＲ東海道本線/川崎駅,18.0
湘南新宿ライン宇須/武蔵小杉駅,19.0
京急空港線/穴守稲荷駅,32.0
東急田園都市線/高津駅,46.0
ＪＲ横浜線/橋本駅,71.0
ＪＲ横須賀線/品川駅,8.0
京王線/武蔵野台駅,51.0
西武多摩湖線/武蔵大和駅,67.0
日暮里・舎人ライナー/舎人公園駅,37.0
西東京/児童館前,
新小21/東小松川二,
都営バス/中央三丁目（東京都）,31.0
京成バス/森林公園前（東京都）,
東急バス/放送大学学習センター,61.0
新交通ゆりかもめ/お台場海浜公園駅,26.0
りんかい線/東京テレポート駅,26.0
東武伊勢崎線/谷塚駅,44.0
京王線/分倍河原駅,54.0
ムーバス/第一小学校西,
都営大江戸線/練馬駅,36.0
東急バス,
京王相模原線/橋本駅,71.0
関東バス/大和町三丁目,43.0
都営バス/新小岩一丁目,19.0
京急大師線/京急川崎駅,27.0
ＪＲ京浜東北線/川口駅,29.0
東２２/扇橋二丁目,
秋２６/扇橋二丁目,
西武有楽町線/小竹向原駅,29.0
渋41/中目黒駅,29.0
東急バス/住宅前,678.0
