station_raw,time_to_tokyo_min
東京メトロ銀座線/表参道駅,17.0
東京メトロ丸ノ内線/大手町駅,1.0
東京メトロ千代田線/新御茶ノ水駅,11.0
東急東横線/自由が丘駅,38.0
東京メトロ日比谷線/小伝馬町駅,15.0
東京メトロ銀座線/神田駅,2.0
ＪＲ総武線/御茶ノ水駅,4.0
都営三田線/神保町駅,11.0
ＪＲ中央線/東小金井駅,35.0
西武多摩湖線/国分寺駅,43.0
ＪＲ京葉線/葛西臨海公園駅,13.0
ＪＲ京葉線/舞浜駅,17.0
東京メトロ東西線/葛西駅,25.0
東京メトロ東西線/南砂町駅,19.0
東京メトロ東西線/東陽町駅,19.0
東京メトロ東西線/西葛西駅,23.0
都営大江戸線/大門駅,15.0
東京メトロ銀座線/新橋駅,2.0
都電荒川線/荒川一中前駅,33.0
都電荒川線/三ノ輪橋駅,30.0
ＪＲ総武線/四ツ谷駅,10.0
東京メトロ東西線/中野駅,18.0
都電荒川線/庚申塚駅,34.0
東京メトロ丸ノ内線/方南町駅,31.0
ＪＲ横浜線/成瀬駅,62.0
日暮里・舎人ライナー/赤土小学校前駅,27.0
東京メトロ日比谷線/茅場町駅,11.0
東京メトロ丸ノ内線/東京駅,
東京メトロ東西線/日本橋駅,11.0
東京メトロ半蔵門線/表参道駅,20.0
東京メトロ銀座線/上野駅,5.0
ＪＲ京浜東北線/鶯谷駅,10.0
ＪＲ常磐線/日暮里駅,12.0
ＪＲ山手線/浜松町駅,6.0
都営新宿線/船堀駅,32.0
小田急多摩線/唐木田駅,63.0
東急池上線/荏原中延駅,34.0
ＪＲ山手線/大塚駅,22.0
東急大井町線/旗の台駅,35.0
ＪＲ総武線/中野駅,18.0
都営浅草線/東日本橋駅,15.0
都営新宿線/馬喰横山駅,10.0
東京メトロ日比谷線/日比谷駅,11.0
小田急多摩線/黒川駅,61.0
京王線/聖蹟桜ヶ丘駅,56.0
ＪＲ中央線/武蔵境駅,33.0
西武新宿線/花小金井駅,58.0
西武新宿線/田無駅,51.0
ＪＲ総武線/三鷹駅,31.0
東京メトロ日比谷線/北千住駅,25.0
都営三田線/蓮根駅,40.0
東急池上線/旗の台駅,32.0
ＪＲ八高線/東福生駅,79.0
多摩都市モノレール/松が谷駅,69.0
多摩都市モノレール/高松駅,1148.0
ＪＲ南武線/西国立駅,55.0
ＪＲ常磐線/北千住駅,25.0
ＪＲ宇都宮線/尾久駅,12.0
都電荒川線/小台駅,43.0
西武多摩川線/新小金井駅,44.0
ＪＲ中央線/豊田駅,55.0
ＪＲ中央線/日野駅,46.0
ＪＲ中央線/八王子駅,63.0
新交通ゆりかもめ/汐留駅,14.0
東京メトロ半蔵門線/大手町駅,1.0
都営三田線/芝公園駅,18.0
東京メトロ千代田線/乃木坂駅,17.0
多摩都市モノレール/立川南駅,45.0
多摩都市モノレール/立川北駅,45.0
ＪＲ高崎線/尾久駅,12.0
都電荒川線/荒川遊園地前駅,45.0
ＪＲ京浜東北線/王子駅,20.0
東京メトロ東西線/門前仲町駅,16.0
都営三田線/志村三丁目駅,38.0
都営三田線/志村坂上駅,36.0
ＪＲ青梅線/拝島駅,56.0
東京メトロ日比谷線/築地駅,14.0
都営三田線/千石駅,22.0
ＪＲ総武線/秋葉原駅,4.0
ＪＲ山手線/目黒駅,21.0
東急目黒線/不動前駅,29.0
東京メトロ日比谷線/広尾駅,20.0
ＪＲ埼京線/戸田公園駅,31.0
東京メトロ南北線/六本木一丁目駅,21.0
ＪＲ京浜東北線/田端駅,15.0
都営三田線/巣鴨駅,20.0
ＪＲ山手線/東京駅,
東北新幹線/上野駅,5.0
ＪＲ中央線/御茶ノ水駅,5.0
ＪＲ京浜東北線/新橋駅,2.0
小田急線/登戸駅,42.0
ＪＲ中央線/吉祥寺駅,28.0
ＪＲ中央線/神田駅,2.0
都営新宿線/神保町駅,10.0
東京メトロ銀座線/三越前駅,10.0
ＪＲ総武線快速/馬喰町駅,4.0
東京メトロ南北線/本駒込駅,22.0
西武新宿線/鷺ノ宮駅,42.0
ＪＲ中央線/阿佐ケ谷駅,30.0
東京メトロ丸ノ内線/南阿佐ケ谷駅,32.0
東京メトロ半蔵門線/青山一丁目駅,13.0
東京メトロ千代田線/西日暮里駅,13.0
都電荒川線/新庚申塚駅,36.0
東京メトロ東西線/浦安駅,31.0
東京メトロ東西線/南行徳駅,32.0
都営浅草線/東銀座駅,14.0
都営浅草線/大門駅,14.0
ＪＲ埼京線/浮間舟渡駅,29.0
都営三田線/三田駅,16.0
都営三田線/水道橋駅,13.0
東京メトロ丸ノ内線/後楽園駅,9.0
都営三田線/春日駅,18.0
都営三田線/白山駅,20.0
都営大江戸線/春日駅,18.0
ＪＲ中央線/四ツ谷駅,11.0
日暮里・舎人ライナー/西日暮里駅,13.0
ＪＲ東海道本線/新橋駅,2.0
ＪＲ八高線/箱根ケ崎駅,85.0
